Variable,Coefficient,Std_Error,z_stat,p_value,Significance
const,3.7545,0.1208,31.076,0.0,***
D_kohls_com,0.4643,0.0433,10.729,0.0,***
D_walmart_com,0.2137,0.0432,4.946,0.0,***
D_ebay_com,-0.6606,0.0895,-7.379,0.0,***
D_gap_com,0.4088,0.0643,6.363,0.0,***
D_macys_com,0.4264,0.0427,9.979,0.0,***
D_blair_com,0.5532,0.1087,5.088,0.0,***
D_target_com,0.1086,0.0539,2.016,0.0438,**
D_qvc_com,0.539,0.13,4.147,0.0,***
Q2,0.0743,0.0314,2.368,0.0179,**
Q3,0.0443,0.0384,1.155,0.248,
Q4,0.1351,0.0323,4.186,0.0,***
Region_2,0.0353,0.0438,0.805,0.4209,
Region_3,0.0333,0.0429,0.776,0.4377,
Region_4,-0.0317,0.0438,-0.723,0.4695,
HH_Size_2,0.0294,0.0514,0.572,0.567,
HH_Size_3,0.0719,0.0589,1.22,0.2224,
HH_Size_4,0.0488,0.0619,0.789,0.4299,
HH_Size_5,0.1842,0.0605,3.044,0.0023,***
HH_Size_6plus,-0.3265,0.566,-0.577,0.564,
Income_25_39k,-0.0343,0.0507,-0.676,0.4993,
Income_40_59k,-0.0186,0.0472,-0.394,0.6935,
Income_60_74k,-0.0824,0.0473,-1.741,0.0817,*
Income_75_99k,0.0629,0.0642,0.98,0.3269,
Income_100_149k,-0.0034,0.0452,-0.075,0.9404,
Income_150_199k,0.1337,0.0915,1.461,0.144,
Income_200k_plus,0.039,0.075,0.519,0.6035,
Gen_Z_YoungMillennial,0.0805,0.0709,1.136,0.2561,
Millennial,0.1095,0.0471,2.322,0.0202,**
GenX,0.0514,0.034,1.509,0.1313,
Edu_Some_College,0.0269,0.1069,0.251,0.8016,
Edu_Associate,0.0347,0.104,0.334,0.7384,
Edu_Bachelors,0.0723,0.1083,0.667,0.5048,
Edu_Graduate,0.0807,0.1184,0.682,0.4955,
Edu_Missing,0.0258,0.1048,0.246,0.8054,
children Code,-0.0827,0.0425,-1.945,0.0518,*
country_of_origin Code,0.0529,0.0531,0.997,0.319,
