Variable,Coefficient,Std_Error,z_stat,p_value,Significance
const,2.9406,0.0571,51.543,0.0,***
D_kohls_com,-0.0859,0.0213,-4.044,0.0001,***
D_walmart_com,-0.3336,0.024,-13.918,0.0,***
D_ebay_com,-0.416,0.0598,-6.954,0.0,***
D_gap_com,-0.015,0.0357,-0.42,0.6748,
D_macys_com,0.3948,0.0329,12.016,0.0,***
D_blair_com,-0.0979,0.0623,-1.573,0.1157,
D_womanwithin_com,0.5046,0.0221,22.84,0.0,***
D_target_com,-0.3552,0.0333,-10.655,0.0,***
D_qvc_com,0.6186,0.032,19.346,0.0,***
Q2,-0.0197,0.0157,-1.256,0.209,
Q3,-0.02,0.021,-0.953,0.3407,
Q4,0.0502,0.016,3.144,0.0017,***
Region_2,0.0285,0.026,1.099,0.272,
Region_3,-0.0003,0.0246,-0.011,0.9911,
Region_4,0.0451,0.0281,1.601,0.1093,
HH_Size_2,-0.0074,0.0236,-0.312,0.7551,
HH_Size_3,-0.0225,0.0302,-0.745,0.4563,
HH_Size_4,0.0129,0.0314,0.413,0.6798,
HH_Size_5,0.0144,0.0298,0.483,0.6293,
HH_Size_6plus,-0.6784,0.2056,-3.299,0.001,***
Income_25_39k,-0.002,0.0243,-0.08,0.9359,
Income_40_59k,0.0184,0.0246,0.747,0.4552,
Income_60_74k,0.0428,0.0254,1.683,0.0923,*
Income_75_99k,0.0096,0.0245,0.392,0.6949,
Income_100_149k,-0.0036,0.0315,-0.115,0.9081,
Income_150_199k,0.0187,0.0444,0.421,0.674,
Income_200k_plus,0.1027,0.0352,2.916,0.0035,***
Gen_Z_YoungMillennial,0.0023,0.0278,0.084,0.9332,
Millennial,0.011,0.018,0.614,0.5394,
GenX,-0.0011,0.0194,-0.056,0.9557,
Edu_Some_College,0.0826,0.052,1.588,0.1123,
Edu_Associate,0.0519,0.0517,1.003,0.3157,
Edu_Bachelors,0.1427,0.0516,2.764,0.0057,***
Edu_Graduate,0.1471,0.0548,2.682,0.0073,***
Edu_Missing,0.0791,0.0519,1.526,0.1271,
children Code,-0.0426,0.0219,-1.946,0.0516,*
country_of_origin Code,-0.0414,0.0268,-1.546,0.1221,
