Variable,Coefficient,Std_Error,z_stat,p_value,Significance
const,-1.6371,0.2951,-5.547,0.0,***
income_std,0.1224,0.034,3.604,0.0003,***
young_shopper,-0.3327,0.0798,-4.17,0.0,***
children,0.2055,0.083,2.475,0.0133,**
Edu_Some_College,0.4439,0.2828,1.57,0.1165,
Edu_Associate,0.4522,0.2828,1.599,0.1097,
Edu_Bachelors,0.4312,0.2853,1.512,0.1306,
Edu_Graduate,0.532,0.3119,1.706,0.0881,*
Edu_Edu_Missing,-0.1416,0.2879,-0.492,0.6229,
HH_Size_2,-0.1328,0.1151,-1.154,0.2486,
HH_Size_3,-0.0693,0.1294,-0.536,0.5923,
HH_Size_4,0.0167,0.1398,0.119,0.9052,
HH_Size_5,-0.1136,0.1402,-0.81,0.4181,
Region_2,-0.1747,0.0907,-1.926,0.0541,*
Region_3,-0.403,0.0822,-4.902,0.0,***
Region_4,-0.4215,0.0983,-4.289,0.0,***
