Variable,Coefficient,Std_Error,z_stat,p_value
const,2.9223,0.0613,47.701,0.0
Q2,-0.041,0.0187,-2.193,0.0283
Q3,-0.051,0.0281,-1.817,0.0692
Q4,-0.0213,0.0205,-1.04,0.2982
HH_Size_2,-0.0235,0.0327,-0.72,0.4717
HH_Size_3,-0.0622,0.0403,-1.541,0.1233
HH_Size_4,-0.0315,0.0411,-0.766,0.444
HH_Size_5,0.0019,0.0416,0.045,0.9644
HH_Size_6plus,-0.6825,0.1095,-6.234,0.0
Income_25_39k,-0.0024,0.03,-0.079,0.9368
Income_40_59k,0.017,0.0341,0.499,0.618
Income_60_74k,0.034,0.0356,0.955,0.3397
Income_75_99k,0.0131,0.0348,0.377,0.7064
Income_100_149k,0.0089,0.0423,0.211,0.8326
Income_150_199k,0.0139,0.058,0.24,0.8102
Income_200k_plus,0.1244,0.0399,3.118,0.0018
Edu_Some_College,0.1207,0.0599,2.014,0.044
Edu_Associate,0.063,0.0595,1.058,0.29
Edu_Bachelors,0.18,0.0591,3.044,0.0023
Edu_Graduate,0.2061,0.0626,3.291,0.001
Edu_Missing,0.0836,0.0591,1.413,0.1575
Children,-0.0228,0.03,-0.76,0.4474
